Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10090\trunk\production_files\400389_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       20.01.22
Time:       14:37
Revision:   22185
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R5","1M0","TopLayer","RESC0603X03L_C","80.5180","37.0332","0","Resistor, ±1%, 0.05W"
"C81","100nF","TopLayer","CAPC0603X03L_C","82.7532","31.0896","270","Capacitor, X5R, ±10%"
"SB41","Solderbridge","TopLayer","Solderbridge","102.3000","13.9746","180","Solderbridge"
"P30","Pin List 1x2, Angled","TopLayer","LIST_ANG_1x2-SMD-2.54MM","102.3000","9.5520","0","Pin List 1x2, 2.54mm (100mil), Right Angled, SMD"
"U37","MX25R6435FZNIL0","TopLayer","SON127P600X80_HS-9N","80.7210","27.4828","0","Ultra low power, 64M-bit, serial multi I/O flash memory"
"C84","100nF","TopLayer","CAPC0603X03L_C","83.6422","30.7594","0","Capacitor, X5R, ±10%"
"A2","DSGP.1575.18","TopLayer","DSGP.1575.18","122.3000","43.0000","90","18 x 18 mm Low Profile GPS L1 / GALILEO E1 Passive Patch Antenna"
"R46","1M0","TopLayer","RESC0603X03L_C","110.5408","9.8806","0","Resistor, ±1%, 0.05W"
"U34","FSA4157L6X","TopLayer","PSON50P100X60-6N","77.9272","36.5785","270","Low-Voltage, SPDT Analog Switch, 1.65 V to 5.5 V"
"R7","1M0","TopLayer","RESC0603X03L_C","78.9178","37.8968","180","Resistor, ±1%, 0.05W"
"C82","100nF","TopLayer","CAPC0603X03L_C","77.6478","37.8968","180","Capacitor, X5R, ±10%"
"Y1","Shunt 2.54mm","TopLayer","Shunt_2.54mm_Horizontal","-61.9823","-77.1166","270","Shunt Jumper 2.54mm Black"
"SB22","Solderbridge","TopLayer","Solderbridge","89.0270","21.9710","270","Solderbridge"
"SB21","Solderbridge","TopLayer","Solderbridge","90.2970","21.9710","90","Solderbridge"
"SB28","Solderbridge","TopLayer","Solderbridge","73.4060","47.4726","180","Solderbridge"
"P29","Pin List 1x6, Angled","BottomLayer","LIST_ANG_1x6-SMD-2.54MM","74.9300","50.2286","0","Pin List 1x6, 2.54mm (100mil), Right Angled, SMD"
"Q4","PMCPB5530","TopLayer","PMCPB5530X","30.8864","16.3830","0","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"R84","422R","TopLayer","RESC0603X03L_C","51.2318","43.4848","90","Resistor, ±1%, 0.05W"
