Date/Time	DCV(V)	ACV(V)	DCI(A)	ACI(A)	Freq(Hz)	Period(s)	Res(ohm)	Cap(F)	Temp(K)
2023/09/02->17:32:28.836	--	--	2.454448E-03	--	--	--	--	--	--
2023/09/02->17:32:28.897	--	--	2.454448E-03	--	--	--	--	--	--
2023/09/02->17:32:28.941	--	--	2.454448E-03	--	--	--	--	--	--
2023/09/02->17:32:28.985	--	--	2.454448E-03	--	--	--	--	--	--
2023/09/02->17:32:29. 43	--	--	2.454448E-03	--	--	--	--	--	--
2023/09/02->17:32:29. 85	--	--	2.454448E-03	--	--	--	--	--	--
2023/09/02->17:32:29.128	--	--	2.454448E-03	--	--	--	--	--	--
2023/09/02->17:32:29.227	--	--	2.454365E-03	--	--	--	--	--	--
2023/09/02->17:32:29.269	--	--	2.454365E-03	--	--	--	--	--	--
2023/09/02->17:32:29.327	--	--	2.454365E-03	--	--	--	--	--	--
2023/09/02->17:32:29.370	--	--	2.454365E-03	--	--	--	--	--	--
2023/09/02->17:32:29.413	--	--	2.454365E-03	--	--	--	--	--	--
2023/09/02->17:32:29.513	--	--	2.457030E-03	--	--	--	--	--	--
2023/09/02->17:32:29.558	--	--	2.457030E-03	--	--	--	--	--	--
2023/09/02->17:32:29.601	--	--	2.457030E-03	--	--	--	--	--	--
2023/09/02->17:32:29.659	--	--	2.457030E-03	--	--	--	--	--	--
2023/09/02->17:32:29.703	--	--	2.457030E-03	--	--	--	--	--	--
2023/09/02->17:32:29.747	--	--	2.457030E-03	--	--	--	--	--	--
2023/09/02->17:32:29.846	--	--	2.457113E-03	--	--	--	--	--	--
2023/09/02->17:32:29.890	--	--	2.457113E-03	--	--	--	--	--	--
2023/09/02->17:32:29.950	--	--	2.457113E-03	--	--	--	--	--	--
2023/09/02->17:32:29.995	--	--	2.457113E-03	--	--	--	--	--	--
2023/09/02->17:32:30. 39	--	--	2.457113E-03	--	--	--	--	--	--
2023/09/02->17:32:30.137	--	--	2.453616E-03	--	--	--	--	--	--
2023/09/02->17:32:30.181	--	--	2.453616E-03	--	--	--	--	--	--
2023/09/02->17:32:30.240	--	--	2.453616E-03	--	--	--	--	--	--
2023/09/02->17:32:30.283	--	--	2.453616E-03	--	--	--	--	--	--
2023/09/02->17:32:30.328	--	--	2.453616E-03	--	--	--	--	--	--
2023/09/02->17:32:30.426	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.469	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.528	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.572	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.615	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.673	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.717	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.761	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.807	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:30.905	--	--	2.456364E-03	--	--	--	--	--	--
2023/09/02->17:32:30.949	--	--	2.456364E-03	--	--	--	--	--	--
2023/09/02->17:32:31. 10	--	--	2.456364E-03	--	--	--	--	--	--
2023/09/02->17:32:31. 55	--	--	2.456364E-03	--	--	--	--	--	--
2023/09/02->17:32:31. 99	--	--	2.456364E-03	--	--	--	--	--	--
2023/09/02->17:32:31.199	--	--	2.454948E-03	--	--	--	--	--	--
2023/09/02->17:32:31.243	--	--	2.454948E-03	--	--	--	--	--	--
2023/09/02->17:32:31.302	--	--	2.454948E-03	--	--	--	--	--	--
2023/09/02->17:32:31.345	--	--	2.454948E-03	--	--	--	--	--	--
2023/09/02->17:32:31.390	--	--	2.454948E-03	--	--	--	--	--	--
2023/09/02->17:32:31.496	--	--	2.454615E-03	--	--	--	--	--	--
2023/09/02->17:32:31.540	--	--	2.454615E-03	--	--	--	--	--	--
2023/09/02->17:32:31.601	--	--	2.454615E-03	--	--	--	--	--	--
2023/09/02->17:32:31.646	--	--	2.454615E-03	--	--	--	--	--	--
2023/09/02->17:32:31.692	--	--	2.454615E-03	--	--	--	--	--	--
2023/09/02->17:32:31.794	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:31.839	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:31.901	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:31.946	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:31.988	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:32. 46	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:32. 89	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:32.134	--	--	2.453949E-03	--	--	--	--	--	--
2023/09/02->17:32:32.232	--	--	2.454490E-03	--	--	--	--	--	--
2023/09/02->17:32:32.277	--	--	2.454490E-03	--	--	--	--	--	--
2023/09/02->17:32:32.334	--	--	2.454490E-03	--	--	--	--	--	--
2023/09/02->17:32:32.378	--	--	2.454490E-03	--	--	--	--	--	--
2023/09/02->17:32:32.423	--	--	2.454490E-03	--	--	--	--	--	--
2023/09/02->17:32:32.521	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:32.565	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:32.623	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:32.667	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:32.711	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:32.755	--	--	2.456864E-03	--	--	--	--	--	--
2023/09/02->17:32:32.853	--	--	2.455198E-03	--	--	--	--	--	--
2023/09/02->17:32:32.895	--	--	2.455198E-03	--	--	--	--	--	--
2023/09/02->17:32:32.953	--	--	2.455198E-03	--	--	--	--	--	--
2023/09/02->17:32:32.995	--	--	2.455198E-03	--	--	--	--	--	--
2023/09/02->17:32:33. 39	--	--	2.455198E-03	--	--	--	--	--	--
2023/09/02->17:32:33.136	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.179	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.238	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.281	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.326	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.427	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.471	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.530	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.575	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.618	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.678	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.721	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.764	--	--	2.456031E-03	--	--	--	--	--	--
2023/09/02->17:32:33.867	--	--	2.456572E-03	--	--	--	--	--	--
2023/09/02->17:32:33.912	--	--	2.456572E-03	--	--	--	--	--	--
2023/09/02->17:32:33.956	--	--	2.456572E-03	--	--	--	--	--	--
2023/09/02->17:32:34. 14	--	--	2.456572E-03	--	--	--	--	--	--
2023/09/02->17:32:34. 57	--	--	2.456572E-03	--	--	--	--	--	--
2023/09/02->17:32:34.101	--	--	2.456572E-03	--	--	--	--	--	--
2023/09/02->17:32:34.200	--	--	2.454782E-03	--	--	--	--	--	--
2023/09/02->17:32:34.244	--	--	2.454782E-03	--	--	--	--	--	--
2023/09/02->17:32:34.306	--	--	2.454782E-03	--	--	--	--	--	--
2023/09/02->17:32:34.353	--	--	2.454782E-03	--	--	--	--	--	--
2023/09/02->17:32:34.397	--	--	2.454782E-03	--	--	--	--	--	--
2023/09/02->17:32:34.495	--	--	2.453366E-03	--	--	--	--	--	--
2023/09/02->17:32:34.539	--	--	2.453366E-03	--	--	--	--	--	--
2023/09/02->17:32:34.596	--	--	2.453366E-03	--	--	--	--	--	--
2023/09/02->17:32:34.640	--	--	2.453366E-03	--	--	--	--	--	--
2023/09/02->17:32:34.684	--	--	2.453366E-03	--	--	--	--	--	--
2023/09/02->17:32:34.783	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:34.826	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:34.885	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:34.929	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:34.972	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:35. 31	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:35. 74	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:35.118	--	--	2.454240E-03	--	--	--	--	--	--
2023/09/02->17:32:35.218	--	--	2.455364E-03	--	--	--	--	--	--
2023/09/02->17:32:35.263	--	--	2.455364E-03	--	--	--	--	--	--
2023/09/02->17:32:35.323	--	--	2.455364E-03	--	--	--	--	--	--
2023/09/02->17:32:35.366	--	--	2.455364E-03	--	--	--	--	--	--
2023/09/02->17:32:35.410	--	--	2.455364E-03	--	--	--	--	--	--
2023/09/02->17:32:35.454	--	--	2.455364E-03	--	--	--	--	--	--
2023/09/02->17:32:35.553	--	--	2.454906E-03	--	--	--	--	--	--
2023/09/02->17:32:35.597	--	--	2.454906E-03	--	--	--	--	--	--
2023/09/02->17:32:35.655	--	--	2.454906E-03	--	--	--	--	--	--
2023/09/02->17:32:35.698	--	--	2.454906E-03	--	--	--	--	--	--
2023/09/02->17:32:35.740	--	--	2.454906E-03	--	--	--	--	--	--
2023/09/02->17:32:35.841	--	--	2.457696E-03	--	--	--	--	--	--
2023/09/02->17:32:35.884	--	--	2.457696E-03	--	--	--	--	--	--
2023/09/02->17:32:35.942	--	--	2.457696E-03	--	--	--	--	--	--
2023/09/02->17:32:35.987	--	--	2.457696E-03	--	--	--	--	--	--
2023/09/02->17:32:36. 30	--	--	2.457696E-03	--	--	--	--	--	--
2023/09/02->17:32:36.131	--	--	2.335286E-03	--	--	--	--	--	--
2023/09/02->17:32:36.176	--	--	2.335286E-03	--	--	--	--	--	--
2023/09/02->17:32:36.235	--	--	2.335286E-03	--	--	--	--	--	--
2023/09/02->17:32:36.278	--	--	2.335286E-03	--	--	--	--	--	--
2023/09/02->17:32:36.320	--	--	2.335286E-03	--	--	--	--	--	--
2023/09/02->17:32:36.421	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.465	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.524	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.568	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.611	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.655	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.713	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.757	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.800	--	--	1.385483E-03	--	--	--	--	--	--
2023/09/02->17:32:36.902	--	--	5.601722E-04	--	--	--	--	--	--
2023/09/02->17:32:36.947	--	--	5.601722E-04	--	--	--	--	--	--
2023/09/02->17:32:37.  4	--	--	5.601722E-04	--	--	--	--	--	--
2023/09/02->17:32:37. 48	--	--	5.601722E-04	--	--	--	--	--	--
2023/09/02->17:32:37. 92	--	--	5.601722E-04	--	--	--	--	--	--
2023/09/02->17:32:37.191	--	--	7.730992E-04	--	--	--	--	--	--
2023/09/02->17:32:37.235	--	--	7.730992E-04	--	--	--	--	--	--
2023/09/02->17:32:37.293	--	--	7.730992E-04	--	--	--	--	--	--
2023/09/02->17:32:37.336	--	--	7.730992E-04	--	--	--	--	--	--
2023/09/02->17:32:37.379	--	--	7.730992E-04	--	--	--	--	--	--
2023/09/02->17:32:37.479	--	--	3.728180E-03	--	--	--	--	--	--
2023/09/02->17:32:37.522	--	--	3.728180E-03	--	--	--	--	--	--
2023/09/02->17:32:37.581	--	--	3.728180E-03	--	--	--	--	--	--
2023/09/02->17:32:37.625	--	--	3.728180E-03	--	--	--	--	--	--
2023/09/02->17:32:37.669	--	--	3.728180E-03	--	--	--	--	--	--
2023/09/02->17:32:37.768	--	--	2.529269E-02	--	--	--	--	--	--
2023/09/02->17:32:37.812	--	--	2.529269E-02	--	--	--	--	--	--
2023/09/02->17:32:37.856	--	--	2.529269E-02	--	--	--	--	--	--
2023/09/02->17:32:37.914	--	--	2.529269E-02	--	--	--	--	--	--
2023/09/02->17:32:37.958	--	--	2.529269E-02	--	--	--	--	--	--
2023/09/02->17:32:38.  2	--	--	2.529269E-02	--	--	--	--	--	--
2023/09/02->17:32:38. 99	--	--	3.152811E-02	--	--	--	--	--	--
2023/09/02->17:32:38.143	--	--	3.152811E-02	--	--	--	--	--	--
2023/09/02->17:32:38.201	--	--	3.152811E-02	--	--	--	--	--	--
